contact_id,firstname,lastname,contacttype,jobtitle,mosid,commission,school,languagename,gender,environment,shortname
bFMaGKTOxOgSAQrvNKHZOFeXm8uEueNOxBtkyNOBmBUAAK8/AXf/eA==,Frieda,Sadan,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Pte(B)
BfwlCxwtDBZtXY5w3DdTCGmXZTwp9Nf2+fuBLoeRtnIAAK8/AXf/bA==,Mary,Marty,NULL,SIG OP,383,NCM,CFSCE,English,Female,Air,Pte(B)
BfyYhPQJrRh/9DZaAevqcC1iWa9DzwslMrbn5wkkKO8AAK8/AXiG5w==,Nancy,Lane,NULL,WFE TECH,305,NCM,CFSME,English,Male,Army,Pte(B)
bgP5dXIQ8ywdff66B0Uraw1I5geBNNHdZGBn9uesI4sAAK8/AXjBjw==,Vicky,Waddle,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
bHXcXgLP6IXWHXRwySEG5QT58EL8W72ZUFbBHU8ReiAAAK8/AXiG6Q==,Earl,Rodriguez,NULL,CBT ENGR,339,NCM,CFSME,French,Male,Army,Sgt
BIQt7yAVNzoLVTGeWuTJCS1nyFaNXe2holba0cMHMt8AAK8/AXf/Yw==,Cindy,Whirry,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
birrFDXEO8mxxnQ8RoMCnxrPWWSzfqied8VTA0ge0rkAAK8/AXf/aw==,Joseph,Mcdonald,NULL,CELE,NULL,Officer,CFSCE,English,Male,Army,2Lt
BjEplx814lZBjILmIOg8kk0AXB0Wn05qkmO8rORdzDAAAK8/AXj7QA==,John,Carter,NULL,IMAGE TECH,137,NCM,TAC School,English,Male,Army,MWO
BKBZC0hH2TDO8R6nK27/yETiEGd0Ml4OnSG/m+dpelQAAK8/AXjBig==,Loretta,Pappalardo,Course Staff,ARMD,178,Officer,RCACS,English,Male,Army,Lt
bKCPWyIUmrcuoIdKxMRvWrMsMmq6/IhMrgXQHKjgcZgAAK8/AXf/ag==,Wanda,Furukawa,NULL,CELE,NULL,Officer,CFSCE,English,Male,Army,Lt
BKhqLYjjLrbODYgC4n+3EwRAiNew7Lw8rMgr/ewd3ToAAK8/AXj7PA==,Roger,Rodriguez,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
BKk0tZ2tEhvSPpaV66mwypQhJkvbzu2iBZ+u5Va3ywAAAK8/AXj7PQ==,Linda,Ehret,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,MWO
bKs8nzJwBG0VNi8UqAUeDXtLuIokhJQHHHZglp3wEdgAAK8/AXf/ag==,Sallie,Yepsen,NULL,SIG OP,383,NCM,CFSCE,English,Male,Army,Pte(B)
BmHCB9EtMWWYYrZkMsWo76jp8RA7+yDDsTwV1ZWg/BsAAK8/AXj7Nw==,Robert,Cullum,NULL,W TECH L,130,NCM,RCEMES,French,Male,Army,Pte(B)
BmoF9qnfpt7vVub8LKa7bqEz15AoHY+vv5nqVLZr8gUAAK8/AXf/cA==,John,Lee,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Air,Pte(B)
BmS/CGhmcMECF+nNFVgIFVTNlgVV/opIS938NKI5InwAAK8/AXiG5g==,Kay,Johnson,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,WO
BnFMQt3w87/STQRA/ZYf6UUV6ucwh4pdfMFMWe2mVgoAAK8/AXj7NA==,William,Patterson,NULL,GNR,368,NCM,RCA School,French,Male,Army,Cpl
bnJnNmKgd1I56A1R2mrTiRa/KjXUQQrh+gmaBPDD+YkAAK8/AXjBiw==,Emil,Gatlin,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
bnVp/1K5/nCr8GLGM7/mn1/H7DOAvmU2x3ZcJAGyoz0AAK8/AXiG2w==,Helen,Helms,NULL,PH TECH,304,NCM,CFSME,French,Male,Air,Pte(B)
BNXlgh5rqV9hkKgKlzD/I7+bp7M9qADLtBYBivyqBvgAAK8/AXjBiA==,Ted,Long,NULL,INF,180,Officer,INF School,French,Male,Army,2Lt
bNy0l7KmiEOz3Tw8CyORW4TZvlM0YeqlWwIC+R5PcuYAAK8/AXf/bA==,Gerald,Millan,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Pte(B)
BO+n1Yl8pYDqFXgOGTw959qcJikkkaTwo1MdDvbgE1kAAK8/AXjBmg==,Jennifer,Jarquin,NULL,CRMN,5,NCM,RCACS,French,Male,Army,Pte(B)
bOEMXaEK8VcLj9KWyGDdODNxKsVjoeVzyUl+B8e0ppUAAK8/AXf/bQ==,Marjorie,Renolds,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
BoUwWdVfhHVhd/HPXPE+mdra//IlArTqGvuiZAmVlhUAAK8/AXjBnQ==,Abraham,Breaux,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
boZ3H4UizscuBFjb6eZGKwfjPcH5RFMumW7KSkZEfysAAK8/AXiG9w==,Sonia,Cushing,NULL,INFTR,10,NCM,INF School,English,Male,Army,Cpl
bp5ikUUI7sPHGrPJZ3k/aS0gNtF34fdLS42sYPEKzKAAAK8/AXf/Xw==,Jeffrey,Davis,NULL,INFTR,10,NCM,CAAWC,English,Male,Army,WO
bq+9eAzyQzNxbGBIWwb/++2ijmWxmakLRDDEOutxDLwAAK8/AXf/bw==,Allan,Fahey,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
BQ2q5H7MjR8XM8SNfql36vQFnFEn/3qbOygiD7Ck8y8AAK8/AXf/eQ==,Hazel,Kanish,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
bq59dqlVak5BA6GDNlUbunT/eiZDRo5Au9yaMKmjAkIAAK8/AXf/Xw==,Kelly,Nakagawa,NULL,INF,180,Officer,CAAWC,English,Male,Army,Maj
BQE6oKHSBN/puNxXtLeP4BAEkTRevJRLNzOp+ynwsssAAK8/AXf/bw==,Norah,Miller,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
bQSo9R3Fjdv2Hri7LWs8AthXSdJoLmuP8D5mJHKoTHAAAK8/AXjBjg==,Barbara,Ibrahim,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
BQxTyJrePGQiDTDemInECWfEmonHU1FezkZyNhcF2OkAAK8/AXf/aQ==,Eugene,Randolph,NULL,ATIS TECH,109,NCM,CFSCE,English,Female,Army,Pte(B)
BRm2zg5krzCR0Imd0z1PEkXoCJxqNvXEyBClS85bvAQAAK8/AXjBmA==,William,Lehman,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
bRNvHjGNiIaOBq69wtPV8oIKIWrFE8wGcJh8XptVokQAAK8/AXf/YA==,William,Stulce,NULL,ADS TECH,387,NCM,CAAWC,English,Male,Army,Sgt
BSWrBcKgmSHluIZhEXCUWCUdlj4cxuJHRwFKbnWX29AAAK8/AXjBnQ==,Martin,Williams,NULL,ARTY,179,Officer,RCA School,English,Male,Army,2Lt
bt5jWh0T01rh1HrMbBgZyIIJykBNuQH0MuJKq3a0XZcAAK8/AXj7PA==,Sherry,Andrews,NULL,VEH TECH,129,NCM,RCEMES,French,Male,Army,Cpl
btBFq+pRrliynG7z07VNNj4DXGaM/73pTUd6JqnbcKUAAK8/AXf/bQ==,Nettie,Miller,NULL,SIG TECH,385,NCM,CFSCE,English,Female,Army,Pte(B)
btF+9EOXXo5BqsIE2mgXm5NHZoeG+RbGpqKJkDS8LLsAAK8/AXiG7g==,Lynette,Olivia,NULL,INF,180,Officer,INF School,English,Male,Army,2Lt
bTFiNEmGN7DJgzIkolS9ErHSXd9xMXUlkGSrVTH8Mp8AAK8/AXf/bA==,David,Whittier,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Cpl
BTiiA6PbeYEohjTmA8RN9yXj8bl+E5J1/5Q+tgdbiBwAAK8/AXjBmA==,Austin,Gause,NULL,CRMN,5,NCM,RCACS,French,Male,Army,Pte(B)
BTIN2sTOTri5zxDiESNpFsxYzDazwBxnoWiwFiWZ7ysAAK8/AXf/bw==,Clarence,Davis,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
bUMYoUwrxMW61Nma06dKD0UN3ilGiFzLcQTzGLSXQloAAK8/AXiG7g==,Sheila,Flora,NULL,INFTR,10,NCM,INF School,English,Male,Army,WO
bvcjmEVTLZkWqYkuNBbyTyOAXayAIFsOSF1Gxgc+zYwAAK8/AXj7PA==,Shawn,Reeder,NULL,HRA,375,NCM,RCEMES,English,Male,Army,MWO
bVRoq8pfkMSw7Du8NI7HpzCoGO0eMLtYYmu0a5lVTXgAAK8/AXjBng==,Linda,Lee,NULL,ARTY,179,Officer,RCA School,English,Male,Army,2Lt
bvzVnEXNs6b1AxiXWIf2s/YwqrmWIvmhGqkoYI7mRlIAAK8/AXj7Nw==,Susan,Moneyhun,NULL,VEH TECH,129,NCM,RCEMES,French,Male,Army,Pte(R)
BW5Ms/ZyhW6+CIzrNs5XEiJX4q0Cue/xOZC4vBQbhv0AAK8/AXjBmw==,Angela,Key,NULL,ARTY,179,Officer,RCA School,French,Male,Army,Maj
BWDoxWERX9LU0F9vsanjKd48le/nLIRNRCtAgQYOT0sAAK8/AXf/cg==,Michael,Jenkins,NULL,ATIS TECH,109,NCM,CFSCE,French,Male,Army,MCpl
BWWRDSDfd7+7JKNhbGxf9TNKfHDddiadGcFIJ8LNUKYAAK8/AXf/YA==,Charles,Pittman,NULL,ADS TECH,387,NCM,CAAWC,French,Male,Army,Sgt
bWY5TXJsuPeAH6AQ+g5F7cR75QWZfYW8CfAauzbYrVcAAK8/AXj7Pg==,Maynard,Lee,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,Pte(B)
bx+0P0zxEgRGEpUCitZ/3/5+PW534hrLxkCEp6hnN/gAAK8/AXf/bA==,Cynthia,Raines,NULL,CELE,NULL,Officer,CFSCE,English,Male,Army,Lt
bxf9/HwzJ4LUt9Mn1CLK3zyBXYXP2z3qwffEEsydSbEAAK8/AXjBoQ==,Stephen,Hudnall,NULL,GNR,368,NCM,RCA School,English,Female,Army,Pte(B)
BXq+tGCQmIfka2V+IEpI/t+AvGuyA/Hae0u5o+RI/IkAAK8/AXf/bw==,Matt,Boothe,NULL,SIG TECH,385,NCM,CFSCE,English,Male,Air,Pte(B)
By5i9XmGcnVAV014hbUnFYGi2Sz6ypnlO3Cg2j5C9dgAAK8/AXjBnA==,Stephanie,Perez,NULL,GNR,368,NCM,RCA School,English,Male,Army,Cpl
bYKZGUNftVJ8SkE1bM3/QkLoRHd9RZpPryWJTKiM9vEAAK8/AXf/eg==,Donna,Day,NULL,SIGINT,120,NCM,CFSCE,English,Male,Air,Pte(B)
byqJefWBSkBcjiR8tK4S6R6pC7aG2YN9RdnefgobZpMAAK8/AXf/Yw==,Corine,Leone,NULL,IS TECH,394,NCM,CFSCE,English,Male,Army,Pte(B)
BZ0GcMzgBtVXe6ZURijkrjzKOpV52+I3sBgk8qfgvrwAAK8/AXiG3Q==,Adam,Sylla,NULL,CBT ENGR,339,NCM,CFSME,French,Male,Army,WO
BZ3uD8psAz4nuC+aWbLC2sx4kALMam9tq7YS3spbMrIAAK8/AXjBig==,Alfonso,Roth,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
bZIo8pD3B6PDPsPvMGKR/2af47J7K/IhKF4YFWgTO0cAAK8/AXjBmg==,Enid,Jordan,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
c+1kAcvkodFunzHc2t5YKV8CJsJ1OUEdsT6rFJPAhQYAAK8/AXf/cA==,Gregory,Johnson,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Pte(B)
c+hgXCfTledfAikwMJzRqA2+AFZ8XyXsqUo8iwUFj3AAAK8/AXjBog==,Samuel,Dyar,NULL,ARTY,179,Officer,RCA School,English,Male,Army,2Lt
C/fz8WVahthLqWp0y/bFO95MK++BcoKE1eV8i4EISyQAAK8/AXjBow==,Joseph,Davis,NULL,ARTY,179,Officer,RCA School,English,Male,Army,Capt
C/OomnJFYxwsPAh3s4zc4yuLQuYAuioaa434QlGCUoUAAK8/AXiG7w==,Kelly,Hey,NULL,INFTR,10,NCM,INF School,French,Male,Army,WO
C0Az328chr6bHjJUkeYkFWR69F9vJKLjfPOEWzTh1WEAAK8/AXf/bg==,Elmer,Pearce,NULL,SIGINT,120,NCM,CFSCE,English,Male,Air,Sgt
C0HKcuK2KZuManf9A8jH3GfxzWqispBN0wQlWE30ozsAAK8/AXiG9w==,Sylvia,Davis,NULL,INFTR,10,NCM,INF School,French,Male,Army,Cpl
c12NrXxEzbPT4jyBO3psEdhCk9aBQvtXRmiI09hZQzEAAK8/AXj7OQ==,Clarence,Hardin,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
c1ilOGG68NWKtnMENBkuF8889eLvNMstPisyP3MFk0QAAK8/AXf/bA==,Charles,Mcclellan,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Pte(B)
c1K7dzhvHZ8HixWaS+qysjbVI7yAj2IOqj6AnVkqfhkAAK8/AXj7OQ==,Ruth,Knisely,NULL,VEH TECH,129,NCM,RCEMES,French,Female,Army,Pte(B)
C1wSxq/UJY48qY7VHjYsmxusfuxU+5MfjLftcNuuhNcAAK8/AXiG6Q==,Larry,Goldstein,NULL,CBT ENGR,339,NCM,CFSME,French,Female,Air,Pte(B)
C2h4O0nACoXyOIVX+4Qfg4+dRUn8f2lSD3ndIX0AahoAAK8/AXiG6A==,Sara,Langford,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,Sgt
C3iwVTpfKSSsx/Jv+yGsyjf2sRvN2QNgKu55ph4s650AAK8/AXiG9g==,Amanda,Smith,NULL,INFTR,10,NCM,INF School,English,Male,Army,Cpl
C40N8b8e3d4EZHsk3MKE3wQZVcUN299PF8/YsHK37HcAAK8/AXf/bg==,Timothy,Spadaro,NULL,IS TECH,394,NCM,CFSCE,English,Female,Army,Pte(B)
C43Vd8tCMdvQLl6EKhTpbowADxVGeliwB91bSltUmNoAAK8/AXj7Ng==,Barbara,Hayden,NULL,W TECH L,130,NCM,RCEMES,English,Male,Army,Pte(B)
c45p+LtwwjXM83PLBuzIgmTs7cuPoJwlovwYCQX/Pt8AAK8/AXiG8w==,Dusty,Stewart,NULL,INFTR,10,NCM,INF School,French,Male,Army,WO
C55VxZ6QI5vXd3z6yaEKtybj/qasboinuGJQm0qf3mEAAK8/AXj7Ng==,Margaret,Bishop,NULL,EO TECH,NULL,NCM,RCEMES,French,Male,Army,Pte(B)
c5E6zrRAIBZuwM+GjMA0sH/Ncl3R3yGG468hAlO12zYAAK8/AXj7OQ==,Jacqueline,Mazzei,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
C5j15rHlEHxlKx+KK4vIoNM64UbmOVglssK4ArF5/IUAAK8/AXf/bw==,Robert,Forbes,NULL,SIG OP,383,NCM,CFSCE,French,Male,Army,MCpl
C5nw94xlnxU4niGBXUo/jpbWkx8uPnwBN62qWNbnRB0AAK8/AXf/YQ==,Scott,Scott,NULL,IMAGE TECH,137,NCM,CATEU,English,Male,Army,Cpl
C5rg/fagukjPPGZJc38Pip7rG/NBFHfOlly70cxxuvAAAK8/AXf/cA==,Kathleen,Tittle,NULL,SIGS,341,Officer,CFSCE,French,Male,Army,2Lt
C5seWxA+9onsxFixkL7Nc/ec675Jdf46I5+FrsiGo0UAAK8/AXjBkA==,Michael,Field,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte
C6Fgs1Y8ne7hClfZgWn9O73CQYOkgVEZ3AUd5V5IPUIAAK8/AXiG6A==,Jesus,Bryan,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,Pte(B)
c6RNqUEmNLOq6TABz+2rrlH5phYsw8xc7TO8ttbDnfQAAK8/AXj7Ow==,Maurice,Picton,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Cpl
C6uLhww8yxh4Zl/XORaMQ0El+2K8GUSqITOE6YE6usMAAK8/AXjBlA==,Emil,Oathout,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte
C8OxeZB77AdF8Rr8r2eBbvL/aqD51M8aXj5LiTFmdzEAAK8/AXjBmQ==,Carlos,Bach,NULL,ARMD,178,Officer,RCACS,English,Male,Army,Capt
C9Im4aHmcv0TyWua/kDsRQcce06IS+lkW8HZMPBOAD8AAK8/AXf/bQ==,Michael,Twitt,NULL,CELE,NULL,Officer,CFSCE,English,Male,Army,OCdt
C9WIzeOSpCCk+6Vu9P1ZLcmDriE0ZcQznXAtfc5E0iUAAK8/AXf/bw==,Frederick,Nordman,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
c9ZWubhwSm2+3TejSZeLChkleiNX/4WOSHrzCJtOiykAAK8/AXjBmw==,Lillian,Washington,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
CAmLRjUsQ7DwmB80UvQ9px2uh3QwGxc/i5CertWAWwYAAK8/AXf/aw==,Nicola,Strong,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
caQsX6IdnnHmAEByYHUTlCHAXha5Em3Yu67GoOrpZ64AAK8/AXiG3A==,Mary,Gordon,NULL,CONST ENGR,189,Officer,CFSME,French,Male,Army,2Lt
CbqP7I6n87APjZmBIELS92RFE0iYA/8lVwtKwsTsT3EAAK8/AXjBjA==,Jon,Coleman,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Sgt
cBu9imQx39AA2pfqgOmOlU5obIzdRQZr6RrjrjRmFmoAAK8/AXf/eQ==,Janet,Goldner,NULL,SIG OP,383,NCM,CFSCE,English,Male,Army,Cpl
cBwRdeu5pEtd6jonqAuBEqOcMsY0RKkTqUEfHTx+m8EAAK8/AXj7Og==,Carol,Harris,NULL,HRA,375,NCM,RCEMES,English,Male,Army,Pte(B)
Cc54xuuqKfHzAVWkvSp9t+xNQMTGRKcGOvb+wr8ecgoAAK8/AXj7QQ==,Vaughn,Murry,NULL,INFTR,10,NCM,TAC School,English,Male,Air,Sgt
CCiBj6YWC/z4vaFWo3lj6d7ltc/SjFtj9+B+5bBdirQAAK8/AXiG5Q==,Charles,Hughes,NULL,CONST ENGR,189,Officer,CFSME,English,Male,Army,2Lt
CCYOm9hRofrwAJ38k2P8DucUc8noCktzqnU54J5pgqMAAK8/AXf/eQ==,Dustin,Delaney,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,Maj
CecCzkpaws1jBWHH+jcd0ZnwZG0pz2xj3iXK6ta2PJMAAK8/AXj7Pg==,Ramiro,Guimond,NULL,LEET,388,NCM,RCEMES,English,Male,Army,Pte(B)
CEnne/Xrk6KusmQtQoiQsp5PoulrxLwOiuc03BPKdB0AAK8/AXjBig==,Clara,Edens,NULL,ARMD,178,Officer,RCACS,English,Male,Army,2Lt
ceWhyoZ9KqdbCVkTM9AKYCxNpGwsldzDi2mzwR6KqNsAAK8/AXj7Pw==,George,Norman,NULL,EO TECH,NULL,NCM,RCEMES,English,Female,Army,Pte(B)
CEZBGeOOjXGcKS24k25avwYgFG7gfdn6dBu4j/fLXbMAAK8/AXiG5A==,Paul,Roessler,NULL,EGS TECH,303,NCM,CFSME,French,Male,Army,Pte(B)
cf5JvX0ZqOg5zEfEkluhkRL/w6PjVZtXszYa09QupTgAAK8/AXj7Mw==,Linda,Markus,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
CfdaOGuzzxgktGxrQmmfuvPvBCfaQ+LRHknKqokkJGcAAK8/AXjBhw==,Myrtle,Emerson,NULL,INFTR,10,NCM,INF School,French,Male,Army,Sgt
CFgTDrSHzbquiMYFRbwbMhFAeyl03PBu4ZNmEnNbjjwAAK8/AXj7Ng==,Alex,Parish,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
cfMk6DSJm+cCgnKngF0nNZAGWFXVUi5AW1AidAgK/zwAAK8/AXf/YQ==,Vincent,Oreilly,NULL,SIGINT,120,NCM,CFSCE,English,Male,Air,Pte(B)
cG7/VB9UtUlriJiUlLgkD/buQ06yREDRE2FJbYYQky8AAK8/AXjBpA==,Gerald,Jones,NULL,GNR,368,NCM,RCA School,French,Male,Army,Pte(B)
cgwvqxILHVYoAlW7xa2ckYPoLWzeoieaMZBEw6+a6aAAAK8/AXiG9w==,Penny,Gardiner,NULL,INFTR,10,NCM,INF School,English,Male,Army,WO
cH2jUMzV1eGUFz4cqVvVQtpN5L5oMPCX1eOwXQvoIZoAAK8/AXf/bw==,David,Sullivan,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
cHgDw0sNzxGN+1E7gcYhmYCsb5TZXT7ed2MLGNQYTxYAAK8/AXiG2w==,Curtis,Sharp,NULL,LOG,328,Officer,CFSME,English,Male,Army,OCdt
ChlhG9Tfcgf+OKXIMs6zSzjCSrO2I+6tPxPnUqMRfCEAAK8/AXf/bA==,Burton,Jackson,NULL,SIG TECH,385,NCM,CFSCE,English,Male,Army,Pte(B)
ChzAp+hHPhhKJxYlfYgYok1UbEGutd3PSyvevXPMHKIAAK8/AXf/cA==,Maria,Hults,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,MCpl
ChZzFcR7bPNZb8OcUPEId8CALY0qh+c4qtXamUvZUsQAAK8/AXjBkQ==,Samuel,Pacitto,Student,CRMN,5,NCM,RCACS,English,Male,Army,Pte(R)
cI2uPLxrm+kWelRBsQdF+asJUzyka6u7+0ybATchGSsAAK8/AXf/YQ==,Mark,Patterson,NULL,CBT ENGR,339,NCM,CATEU,English,Male,Air,MWO
ciW+TKXJHJj/4jnDqKIeNtTUgjm8Ovlop1Y+wq5EusgAAK8/AXj7Nw==,Marvin,Dawson,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,Pte(B)
CIXUd0iz8P1vvwhSdS14C4sfu5quBfueTrk8i1neGLMAAK8/AXf/YQ==,Ruth,Izzi,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,Maj
CJ/0KSbZkaEOLgrCzWlNlLK66I93UbNA7YsWnf9Kv9wAAK8/AXiG3Q==,Benjamin,Owen,NULL,CONST TECH,306,NCM,CFSME,English,Male,Army,Pte(B)
cj4v3zeRayiB+Ji+UBp++DbNTKmNrIc/uD007s/o1ycAAK8/AXj7Ow==,Wilbur,Schmig,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
Cj7oMqcCCIkWQLmhiKDX4r40WBu3dNgaXJUlEQ2/moEAAK8/AXjBnA==,Daniel,Edes,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
CjhI8gSHADYLMosZ6w9/ecgjE3aai5wrXzgeKstScvIAAK8/AXf/bg==,Bryan,Terrance,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
cJKOyjMTkKfy99eThPiZOF5YDeveer/iLTbXdALfVlIAAK8/AXiG2w==,Louis,Addison,NULL,ED TECH,302,NCM,CFSME,English,Male,Army,Cpl
cJQJw1Nob+vKEXtbyR9rfzDY3fv2qv5UMX9naUugP+YAAK8/AXf/ag==,Joseph,Acosta,NULL,INFTR,10,NCM,CFSCE,French,Male,Army,Pte(B)
CjuCq3mNP0olK8xtKdkjYTzpzQrHx8nj98sA9GPowr8AAK8/AXjBog==,Peggy,Cooper,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
CkD8guCfIuSpFsybWaKndkQA4MUAHX7TfvS34IREekoAAK8/AXjBhw==,George,Smith,NULL,INF,180,Officer,INF School,English,Male,Army,Capt
Cl0UYVik51WbWqZ0ij4cpV378EshJjM/Wsx/tqy1jpAAAK8/AXjBjg==,Kate,Paulk,NULL,CRMN,5,NCM,RCACS,French,Male,Army,WO
CL3dGguoCZrRrGoSTnAREqMgCEE0DluisiDb07mtkT4AAK8/AXj7Pg==,Mary,Kimes,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,MCpl
Cl3JdcbcnEKQ8gIJ45SOBS87q5SDKQCYMJe6jIZnV2UAAK8/AXiG2w==,Anne,Groome,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,MCpl
cLkTgjE3DRk0+S4vt7sV2oSH2RMMcmv/tERj+bDSUZQAAK8/AXf/Yw==,William,Jackola,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
ClX0rL0b3DonISYnCdXSGoSb8UvfQYmJmjclgld4pRkAAK8/AXjBng==,Beatrice,Whittle,NULL,ARTY,179,Officer,RCA School,French,Male,Army,Lt
cM877WwUOBTP6Yr6o/cP9ReMaptNW0AaXCKp0eBQd7cAAK8/AXf/aQ==,Christine,Little,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
cMSlBQH1PwO9Jq7zoAKXVV3GvK1XUtbAqIN4ZZmWRH0AAK8/AXiG7g==,David,Moistner,NULL,INF,180,Officer,INF School,English,Male,Army,Capt
cmTDEbLZTtTuwkFBF0VLCmQdTzKv1Boj3ZiSHBCzBzcAAK8/AXj7Nw==,Mary,Krois,Student,VEH TECH,129,NCM,RCEMES,French,Male,Army,Pte(R)
cNDdKEwk0Zfd9jTrIE3gIuBzU9SqkbhqCcqLwP8n4XsAAK8/AXiG7g==,John,Edwards,NULL,INFTR,10,NCM,INF School,English,Male,Army,WO
Cne6uaDpzCmmNqT4jEJ1wA/3BaQNr4GIE2DqeCOB4FYAAK8/AXiG5w==,Kim,Hermans,NULL,CE SUPT,307,NCM,CFSME,English,Male,Army,Pte(B)
cnSdbVCU7h3pqO11yfY6ZFuWGWiwcSvRksjWqj/LZIQAAK8/AXf/ag==,Corina,Rodriques,NULL,SIG TECH,385,NCM,CFSCE,English,Male,Navy,Pte(B)
CoD0DbFiswDkpyImVkUZ/ROK3E1YdgDpWThX+AH0iQMAAK8/AXjBiQ==,Amanda,Stene,NULL,CRMN,5,NCM,RCACS,English,Female,Army,Pte(B)
coDvQEUPjnEBjaKB0tbb3XxSC87osk0d45gKisiVbqcAAK8/AXjBow==,Veronica,Walker,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
cOeUb83pNfX2dk6Yn7C+W8LO/i6Ja2uwBhOaouiyteMAAK8/AXjBig==,Alicia,Melendez,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Cpl
COknT2sMBDSZiJX3wgqZ426ilT4hRoThFYaS+ITDlf8AAK8/AXiG8A==,Sandra,Alexander,NULL,INF,180,Officer,INF School,English,Male,Army,2Lt
conCQpopn25UFI+1CsyzS7WfNCZjqrprvaK+htE4Q2gAAK8/AXjBnw==,Arturo,Wall,NULL,GNR,368,NCM,RCA School,English,Male,Army,WO
Cov+P+kv7FZjhgpuTvQ+FG/XbSxvbT7vBD10zrR/pZwAAK8/AXf/bg==,James,Martinez,NULL,SIGS,341,Officer,CFSCE,English,Male,Air,2Lt
cOZ47/2Q6QwujhW3Ma8MhARosUjaq6zyDqN1DXPWSRwAAK8/AXj7OQ==,Ambrose,Arden,NULL,EME,187,Officer,RCEMES,English,Male,Army,2Lt
cp1mt+1Bi8CxSxlFaAl30elAKPSeprNogbHFTLox/9MAAK8/AXiG8A==,Candace,Gioe,NULL,INFTR,10,NCM,INF School,English,Male,Army,Pte
CPTrBwjy2XlimMWfHpO8vs7P79oQ/n+htDu+oUQM8gMAAK8/AXf/Yw==,Paul,Frazier,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
Cq2FnYfxko8KlY70WZrBIQLgYNgM12I8OnVl9H5QqUsAAK8/AXj7Pg==,Monica,Miller,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,MCpl
